,VarDb,VarQuery,cRMSE,combinations,ddP,ddP_abs,euclidian,manhattan,pearson,spearman,indexDdPStd,sumDdPStd,indexRMSSEStd,rankRMSSEStd,rankRMSSEMean,rankRMSSEMedian,indexPeaStd,rankPeaStd,indexEuclStd,rankEuclStd,indexManStd,rankManStd,indexSpeStd,indexSpeCum,rankSpeStd,indexSpeStdAUC,rankSpeStdAUC,indexddP_absStdAUC,rankddP_absStdAUC
163,0.115256,1.078104,1.07882157932,"(16, 34)",0.048,0.048,4.79257759457,9.26,0.0418493583334,0.1,2584,0.242274694749,2584,0.602176829742,1.85686653772e-05,0.002,1381,0.622883760785,1991,0.636157677279,1829,0.643427590705,1479,,,1370,0.614797149248,163,0.0276722983787
162,1.078104,0.115256,1.07882157932,"(34, 16)",-0.048,0.048,4.79257759457,9.26,0.0418493583334,0.1,2585,0.242471875845,2585,0.60206112852,0.0,0.0,1380,0.623107899371,1990,0.636316505798,1828,0.643602483505,1478,,,1369,0.615020059521,162,0.0274996781945
842,0.3256,0.539664,1.07958510549,"(41, 38)",-0.226,0.226,4.08544979164,7.37,-0.358124995301,-0.7,2587,0.242866080738,2587,0.601861239894,0.0,0.0,724,0.630768268887,1708,0.641314524669,1493,0.640843824467,211,,,243,0.588872233503,842,0.129631686534
845,0.539664,0.3256,1.07958510549,"(38, 41)",0.226,0.226,4.08544979164,7.37,-0.358124995301,-0.7,2586,0.242669228846,2586,0.601961147532,8.73598763046e-05,0.002,725,0.630389586131,1709,0.641150285728,1494,0.640656201747,233,,,261,0.587376506926,845,0.130099870712
2168,0.339024,0.445056,1.08300323176,"(15, 7)",-0.728,0.728,3.42317104451,6.45,-0.50048559308,-0.4,2588,0.24306544676,2588,0.601914998347,-0.000281189648513,-0.002,534,0.595880213415,1418,0.635708401396,1293,0.638148200023,593,,,623,0.616667608847,2168,0.377050196823
2169,0.445056,0.339024,1.08300323176,"(7, 15)",0.728,0.728,3.42317104451,6.45,-0.50048559308,-0.4,2589,0.243264305783,2589,0.60196884179,0.0,0.0,535,0.596155519127,1419,0.635778316401,1292,0.638073564137,596,,,626,0.61596976347,2169,0.377287266027
2397,0.99508,0.02608,1.08375273933,"(2, 31)",-0.92,0.92,2.80305190819,5.41,-0.475991625535,-0.7,2590,0.243463320804,2590,0.602123885763,-0.000355075260517,-0.002,576,0.62156205793,1101,0.618617215674,1079,0.637253557304,252,,,203,0.576472589949,2397,0.438855163897
2396,0.02608,0.99508,1.08375273933,"(31, 2)",0.92,0.92,2.80305190819,5.41,-0.475991625535,-0.7,2591,0.243661830439,2591,0.60227897949,0.0,0.0,577,0.622204052022,1100,0.618276141496,1078,0.63693272718,274,,,217,0.586909564986,2396,0.438544122511
2147,0.99508,0.05008,1.08404796942,"(1, 31)",-0.71,0.71,4.34008064441,8.05,-0.291173735291,-0.5,2593,0.244057859801,2592,0.602324173662,-0.000273814114925,-0.002,826,0.630117536153,1823,0.639369926966,1649,0.640746727253,484,,,551,0.626821800495,2147,0.372143977064
2146,0.05008,0.99508,1.08404796942,"(31, 1)",0.71,0.71,4.34008064441,8.05,-0.291173735291,-0.5,2592,0.243860096379,2593,0.60236945402,0.0,0.0,827,0.630220703616,1822,0.639328923178,1648,0.640702314347,485,,,550,0.626658061629,2146,0.371914966171
1431,0.172184,0.531496,1.08558924092,"(13, 28)",0.414,0.414,2.44374712276,4.59,-0.784795077008,-0.7,2594,0.244256476997,2594,0.602308190257,0.000159537572254,0.002,161,0.562491283883,894,0.595494589514,843,0.618206985384,262,,,231,0.587058053218,1431,0.229621731691
1430,0.531496,0.172184,1.08558924092,"(28, 13)",-0.414,0.414,2.44374712276,4.59,-0.784795077008,-0.7,2595,0.244454591059,2595,0.602247009713,0.0,0.0,160,0.563285412627,895,0.595323051556,842,0.618408987468,261,,,232,0.586455008994,1430,0.229440903156
718,1.078104,0.027256,1.08794485154,"(45, 16)",-0.194,0.194,2.47933458815,4.87,-0.228281467581,-0.368932393686,2597,0.244853452107,2597,0.602039216214,0.0,0.0,928,0.633546046974,913,0.604874466605,941,0.616777668325,646,,,647,0.61243211768,718,0.110751282295
719,0.027256,1.078104,1.08794485154,"(16, 45)",0.194,0.194,2.47933458815,4.87,-0.228281467581,-0.368932393686,2596,0.244654274589,2596,0.602143077287,7.47015787447e-05,0.002,929,0.633237328321,912,0.605171537763,940,0.617072864662,649,,,644,0.613774295876,719,0.110910574589
2293,0.42692,0.374056,1.08845578688,"(35, 8)",-0.818,0.818,5.94975629753,12.14,-0.480162397679,-0.6,2599,0.245251192833,2599,0.602235103593,0.0,0.0,568,0.618508228631,2316,0.629655258868,2237,0.633628895964,347,,,417,0.591350840303,2293,0.408626286505
2292,0.374056,0.42692,1.08845578688,"(8, 35)",0.818,0.818,5.94975629753,12.14,-0.480162397679,-0.6,2598,0.245052574341,2598,0.602137123298,0.000314736437091,0.002,569,0.618916189094,2317,0.629748756344,2238,0.633723378598,348,,,416,0.590699689223,2292,0.408358081594
